HomeTeam,AwayTeam,FTHG,FTAG,FTR
Vitoria,Sao Paulo,0,2,A
Cruzeiro,Parana,5,1,H
Vasco,Gremio,2,0,H
Parana,Fortaleza,4,1,H
Atletico-MG,Juventude,2,1,H
Paysandu,Cruzeiro,3,0,H
Guarani,Athletico-PR,1,0,H
Figueirense,Vasco,0,0,D
Santos,Goias,3,3,D
Bahia,Corinthians,0,0,D
Coritiba,Vitoria,1,1,D
Gremio,Criciuma,0,2,A
Flamengo,Internacional,2,1,H
Sao Caetano,Fluminense,2,0,H
Sao Paulo,Ponte Preta,1,2,A
Santos,Vasco,2,1,H
Goias,Atletico-MG,1,1,D
Athletico-PR,Paysandu,1,1,D
Fortaleza,Ponte Preta,2,3,A
Juventude,Fluminense,2,1,H
Flamengo,Sao Paulo,1,1,D
Criciuma,Coritiba,2,3,A
Guarani,Figueirense,3,0,H
Vitoria,Parana,0,3,A
Corinthians,Gremio,1,0,H
Cruzeiro,Bahia,5,2,H
Internacional,Sao Caetano,0,0,D
Athletico-PR,Santos,0,2,A
Goias,Ponte Preta,0,0,D
Parana,Criciuma,2,1,H
Fluminense,Cruzeiro,2,2,D
Gremio,Santos,2,0,H
Sao Paulo,Internacional,0,2,A
Sao Caetano,Juventude,1,1,D
Figueirense,Goias,0,1,A
Parana,Corinthians,1,1,D
Paysandu,Guarani,6,1,H
Coritiba,Fortaleza,1,1,D
Bahia,Criciuma,2,2,D
Ponte Preta,Flamengo,1,1,D
Vasco,Athletico-PR,2,1,H
Atletico-MG,Vitoria,1,0,H
Vitoria,Paysandu,1,1,D
Athletico-PR,Parana,1,0,H
Criciuma,Sao Caetano,0,1,A
Fortaleza,Fluminense,3,1,H
Juventude,Ponte Preta,0,0,D
Santos,Atletico-MG,3,3,D
Goias,Vasco,3,1,H
Cruzeiro,Sao Paulo,1,1,D
Internacional,Coritiba,1,0,H
Flamengo,Bahia,6,0,H
Corinthians,Figueirense,0,1,A
Guarani,Gremio,2,0,H
Fluminense,Criciuma,1,1,D
