HomeTeam,AwayTeam,FTHG,FTAG,FTR
Bahia,Nautico,2,0,H
Sao Paulo,Fluminense,2,1,H
Internacional,Goias,3,3,D
Athletico-PR,Botafogo-RJ,2,0,H
Nautico,Athletico-PR,1,4,A
Portuguesa,Bahia,4,2,H
Goias,Atletico-MG,0,0,D
Gremio,Ponte Preta,1,0,H
Fluminense,Santos,0,2,A
Vitoria,Criciuma,0,1,A
Botafogo-RJ,Sao Paulo,0,0,D
Corinthians,Flamengo,4,0,H
Coritiba,Internacional,0,0,D
Cruzeiro,Vasco,5,3,H
Nautico,Sao Paulo,0,1,A
Goias,Gremio,2,0,H
Flamengo,Vitoria,2,1,H
Athletico-PR,Santos,2,1,H
Portuguesa,Ponte Preta,2,1,H
Internacional,Corinthians,1,0,H
Atletico-MG,Fluminense,2,2,D
Bahia,Cruzeiro,1,3,A
Botafogo-RJ,Coritiba,3,1,H
Nautico,Vasco,0,3,A
Sao Paulo,Criciuma,1,2,A
Vitoria,Atletico-MG,1,1,D
Ponte Preta,Internacional,1,3,A
Santos,Goias,1,0,H
Fluminense,Bahia,1,0,H
Gremio,Portuguesa,3,2,H
Cruzeiro,Flamengo,1,0,H
Corinthians,Nautico,0,0,D
Coritiba,Sao Paulo,2,0,H
Criciuma,Botafogo-RJ,1,2,A
Vasco,Athletico-PR,0,0,D
Internacional,Santos,1,2,A
Athletico-PR,Fluminense,1,1,D
Goias,Cruzeiro,1,2,A
Bahia,Criciuma,2,2,D
Nautico,Gremio,0,2,A
Botafogo-RJ,Corinthians,1,0,H
Portuguesa,Vasco,2,0,H
Internacional,Vitoria,2,2,D
Sao Paulo,Ponte Preta,1,0,H
Flamengo,Santos,2,1,H
Atletico-MG,Coritiba,3,0,H
Cruzeiro,Athletico-PR,1,0,H
Fluminense,Portuguesa,2,1,H
Criciuma,Internacional,0,1,A
Ponte Preta,Flamengo,1,1,D
Vasco,Sao Paulo,0,2,A
Corinthians,Goias,1,2,A
Coritiba,Bahia,2,2,D
Vitoria,Nautico,2,1,H
Santos,Botafogo-RJ,1,2,A
Gremio,Atletico-MG,0,1,A
Vasco,Vitoria,1,2,A
Gremio,Santos,1,1,D
Coritiba,Goias,2,2,D
Criciuma,Fluminense,1,2,A
Sao Paulo,Atletico-MG,1,0,H
Ponte Preta,Corinthians,2,0,H
Cruzeiro,Botafogo-RJ,3,0,H
Flamengo,Athletico-PR,2,4,A
Bahia,Internacional,2,0,H
Portuguesa,Nautico,3,0,H
Fluminense,Coritiba,1,1,D
Vitoria,Gremio,0,0,D
Goias,Sao Paulo,1,0,H
Internacional,Portuguesa,0,1,A
Nautico,Flamengo,0,0,D
Botafogo-RJ,Bahia,1,2,A
Corinthians,Cruzeiro,0,0,D
Santos,Criciuma,2,1,H
Athletico-PR,Ponte Preta,1,0,H
Atletico-MG,Vasco,2,1,H
Santos,Nautico,1,1,D
Criciuma,Atletico-MG,1,1,D
Goias,Fluminense,1,2,A
Nautico,Coritiba,3,0,H
Botafogo-RJ,Ponte Preta,0,1,A
Bahia,Vasco,0,0,D
Flamengo,Criciuma,4,1,H
Portuguesa,Corinthians,4,0,H
Sao Paulo,Gremio,0,1,A
Atletico-MG,Santos,3,1,H
Athletico-PR,Vitoria,3,5,A
Internacional,Cruzeiro,1,2,A
Ponte Preta,Nautico,1,2,A
Gremio,Athletico-PR,1,0,H
Cruzeiro,Portuguesa,4,0,H
Fluminense,Botafogo-RJ,1,1,D
Vitoria,Goias,2,1,H
Coritiba,Flamengo,0,2,A
Corinthians,Bahia,2,0,H
Santos,Sao Paulo,3,0,H
Atletico-MG,Ponte Preta,4,0,H
Vasco,Internacional,3,1,H
Botafogo-RJ,Gremio,0,1,A
Sao Paulo,Vitoria,3,2,H
Atletico-MG,Corinthians,0,0,D
Athletico-PR,Coritiba,2,1,H
Flamengo,Vasco,1,1,D
Internacional,Fluminense,1,0,H
Nautico,Cruzeiro,1,4,A
Bahia,Ponte Preta,1,1,D
Goias,Criciuma,1,1,D
Portuguesa,Santos,3,0,H
Coritiba,Santos,1,0,H
Gremio,Criciuma,1,2,A
Ponte Preta,Atletico-MG,2,0,H
Bahia,Vitoria,2,0,H
Corinthians,Athletico-PR,0,0,D
Cruzeiro,Sao Paulo,0,2,A
Nautico,Botafogo-RJ,1,3,A
Vasco,Fluminense,1,0,H
Portuguesa,Goias,1,2,A
Flamengo,Internacional,2,1,H
Fluminense,Gremio,1,1,D
Vitoria,Coritiba,2,1,H
Santos,Ponte Preta,2,1,H
Atletico-MG,Cruzeiro,1,0,H
Criciuma,Vasco,3,2,H
Internacional,Nautico,4,1,H
Sao Paulo,Corinthians,0,0,D
Athletico-PR,Portuguesa,1,0,H
Botafogo-RJ,Flamengo,2,1,H
Goias,Bahia,3,1,H
Cruzeiro,Fluminense,1,0,H
Santos,Internacional,0,0,D
Criciuma,Portuguesa,1,3,A
Ponte Preta,Coritiba,1,0,H
Sao Paulo,Nautico,3,0,H
Flamengo,Bahia,2,1,H
Athletico-PR,Atletico-MG,1,0,H
Gremio,Corinthians,1,0,H
Vasco,Goias,0,2,A
Vitoria,Botafogo-RJ,1,0,H
Fluminense,Ponte Preta,1,1,D
Nautico,Santos,1,5,A
Corinthians,Criciuma,1,0,H
Atletico-MG,Flamengo,1,0,H
Bahia,Sao Paulo,0,1,A
Goias,Athletico-PR,3,0,H
Internacional,Gremio,2,2,D
Botafogo-RJ,Vasco,2,2,D
Coritiba,Cruzeiro,2,1,H
Portuguesa,Vitoria,1,1,D
Botafogo-RJ,Atletico-MG,1,0,H
Cruzeiro,Criciuma,5,3,H
Bahia,Athletico-PR,1,1,D
Corinthians,Santos,1,1,D
Internacional,Sao Paulo,2,3,A
Ponte Preta,Vasco,2,1,H
Portuguesa,Flamengo,0,0,D
Coritiba,Gremio,4,0,H
Fluminense,Vitoria,2,3,A
Nautico,Goias,0,2,A
Sao Paulo,Portuguesa,2,1,H
Vasco,Coritiba,2,1,H
Atletico-MG,Nautico,5,0,H
Goias,Botafogo-RJ,1,0,H
Gremio,Bahia,0,0,D
Santos,Cruzeiro,0,1,A
Vitoria,Corinthians,1,1,D
Athletico-PR,Internacional,1,0,H
Criciuma,Ponte Preta,1,1,D
Flamengo,Fluminense,1,0,H
Bahia,Atletico-MG,0,0,D
Portuguesa,Coritiba,0,0,D
Flamengo,Goias,1,1,D
Athletico-PR,Sao Paulo,3,0,H
Cruzeiro,Gremio,3,0,H
Internacional,Botafogo-RJ,2,1,H
Ponte Preta,Vitoria,0,3,A
Corinthians,Fluminense,1,0,H
Nautico,Criciuma,0,1,A
Vasco,Santos,2,2,D
Goias,Ponte Preta,2,0,H
Gremio,Vasco,1,0,H
Botafogo-RJ,Portuguesa,0,0,D
Criciuma,Athletico-PR,2,1,H
Coritiba,Corinthians,0,1,A
Sao Paulo,Flamengo,2,0,H
Vitoria,Cruzeiro,1,3,A
Santos,Bahia,3,0,H
Atletico-MG,Internacional,2,1,H
Fluminense,Nautico,2,0,H
Botafogo-RJ,Athletico-PR,4,0,H
Coritiba,Criciuma,1,2,A
Corinthians,Vasco,0,0,D
Cruzeiro,Ponte Preta,2,2,D
Fluminense,Sao Paulo,2,1,H
Vitoria,Santos,2,0,H
Goias,Internacional,3,1,H
Gremio,Flamengo,2,1,H
Nautico,Bahia,0,1,A
Portuguesa,Atletico-MG,2,0,H
Criciuma,Vitoria,1,1,D
Vasco,Cruzeiro,2,1,H
Atletico-MG,Goias,4,1,H
Athletico-PR,Nautico,6,1,H
Flamengo,Corinthians,1,0,H
Ponte Preta,Gremio,1,1,D
Santos,Fluminense,1,0,H
Bahia,Portuguesa,1,0,H
Internacional,Coritiba,0,0,D
Sao Paulo,Botafogo-RJ,1,1,D
Fluminense,Atletico-MG,2,2,D
Corinthians,Internacional,0,0,D
Coritiba,Botafogo-RJ,2,1,H
Criciuma,Sao Paulo,1,0,H
Cruzeiro,Bahia,1,2,A
Ponte Preta,Portuguesa,0,2,A
Vasco,Nautico,2,0,H
Vitoria,Flamengo,4,2,H
Gremio,Goias,1,0,H
Santos,Athletico-PR,2,1,H
Flamengo,Cruzeiro,1,1,D
Nautico,Corinthians,1,0,H
Atletico-MG,Vitoria,2,2,D
Athletico-PR,Vasco,5,1,H
Bahia,Fluminense,1,2,A
Botafogo-RJ,Criciuma,3,0,H
Goias,Santos,0,3,A
Internacional,Ponte Preta,0,0,D
Portuguesa,Gremio,0,0,D
Sao Paulo,Coritiba,0,1,A
Fluminense,Figueirense,3,0,H
Internacional,Vitoria,1,0,H
Chapecoense,Coritiba,0,0,D
Bahia,Cruzeiro,1,2,A
Sao Paulo,Botafogo-RJ,3,0,H
Athletico-PR,Gremio,1,0,H
Atletico-MG,Corinthians,0,0,D
Flamengo,Goias,0,0,D
Santos,Sport,1,1,D
Criciuma,Palmeiras,1,2,A
Coritiba,Santos,0,0,D
Palmeiras,Fluminense,0,1,A
Vitoria,Athletico-PR,2,2,D
Cruzeiro,Sao Paulo,1,1,D
Botafogo-RJ,Internacional,2,2,D
Corinthians,Flamengo,2,0,H
Sport,Chapecoense,2,1,H
Figueirense,Bahia,0,2,A
Gremio,Atletico-MG,2,1,H
Goias,Criciuma,1,0,H
Athletico-PR,Cruzeiro,2,3,A
Santos,Gremio,0,0,D
Sao Paulo,Coritiba,2,2,D
Fluminense,Vitoria,1,2,A
Criciuma,Figueirense,1,0,H
Flamengo,Palmeiras,4,2,H
Bahia,Botafogo-RJ,1,0,H
Internacional,Sport,2,1,H
Chapecoense,Corinthians,0,1,A
Atletico-MG,Goias,0,1,A
Palmeiras,Goias,2,0,H
Internacional,Athletico-PR,2,1,H
Botafogo-RJ,Criciuma,6,0,H
Atletico-MG,Cruzeiro,2,1,H
Chapecoense,Gremio,1,2,A
Fluminense,Flamengo,2,0,H
Sao Paulo,Corinthians,1,1,D
Figueirense,Santos,0,2,A
Coritiba,Sport,0,1,A
Bahia,Vitoria,1,1,D
Goias,Botafogo-RJ,2,0,H
Cruzeiro,Coritiba,3,2,H
Flamengo,Sao Paulo,0,2,A
Gremio,Fluminense,1,0,H
Corinthians,Figueirense,0,1,A
Athletico-PR,Chapecoense,1,1,D
Criciuma,Internacional,0,0,D
Vitoria,Palmeiras,0,1,A
Santos,Atletico-MG,1,2,A
Flamengo,Bahia,1,1,D
Coritiba,Internacional,1,1,D
Cruzeiro,Sport,2,0,H
Criciuma,Chapecoense,1,0,H
Fluminense,Sao Paulo,5,2,H
Gremio,Botafogo-RJ,2,1,H
Corinthians,Athletico-PR,1,1,D
Goias,Santos,2,2,D
Palmeiras,Figueirense,1,0,H
Vitoria,Atletico-MG,2,3,A
Bahia,Fluminense,0,1,A
Sao Paulo,Gremio,1,0,H
Sport,Corinthians,1,4,A
Athletico-PR,Coritiba,2,0,H
Figueirense,Goias,0,1,A
Santos,Flamengo,0,0,D
Internacional,Cruzeiro,1,3,A
Botafogo-RJ,Vitoria,1,1,D
Chapecoense,Palmeiras,2,0,H
Atletico-MG,Criciuma,0,0,D
Sport,Gremio,0,0,D
Criciuma,Coritiba,1,0,H
Palmeiras,Botafogo-RJ,0,2,A
Internacional,Chapecoense,2,0,H
Goias,Vitoria,0,0,D
Corinthians,Cruzeiro,1,0,H
Atletico-MG,Fluminense,2,0,H
Athletico-PR,Sao Paulo,2,2,D
Flamengo,Figueirense,1,1,D
Bahia,Santos,0,2,A
Coritiba,Goias,3,0,H
Sao Paulo,Atletico-MG,2,1,H
Vitoria,Sport,0,1,A
Gremio,Palmeiras,0,0,D
Chapecoense,Bahia,2,1,H
Cruzeiro,Flamengo,3,0,H
Santos,Criciuma,2,0,H
Fluminense,Internacional,1,1,D
Figueirense,Athletico-PR,1,3,A
Corinthians,Botafogo-RJ,1,1,D
Sport,Bahia,1,0,H
Gremio,Goias,0,0,D
Sport,Botafogo-RJ,1,0,H
Coritiba,Figueirense,0,2,A
Flamengo,Athletico-PR,1,2,A
Bahia,Sao Paulo,0,2,A
Criciuma,Fluminense,3,2,H
Santos,Palmeiras,2,0,H
Corinthians,Internacional,2,1,H
Cruzeiro,Vitoria,3,1,H
Sao Paulo,Chapecoense,0,1,A
Figueirense,Gremio,0,1,A
Atletico-MG,Bahia,1,1,D
Botafogo-RJ,Coritiba,1,0,H
Palmeiras,Cruzeiro,1,2,A
Internacional,Flamengo,4,0,H
Vitoria,Corinthians,0,0,D
Athletico-PR,Criciuma,2,0,H
Goias,Sport,0,0,D
Fluminense,Santos,1,0,H
Cruzeiro,Figueirense,5,0,H
Santos,Chapecoense,3,0,H
Criciuma,Vitoria,1,3,A
Bahia,Internacional,0,1,A
Sport,Atletico-MG,2,1,H
Goias,Sao Paulo,2,1,H
Corinthians,Palmeiras,2,0,H
Athletico-PR,Fluminense,0,3,A
Gremio,Coritiba,2,3,A
Flamengo,Botafogo-RJ,1,0,H
Botafogo-RJ,Cruzeiro,1,1,D
Sao Paulo,Criciuma,1,1,D
Vitoria,Gremio,2,1,H
Palmeiras,Bahia,1,1,D
Chapecoense,Flamengo,1,0,H
Figueirense,Sport,3,0,H
Coritiba,Corinthians,0,0,D
Fluminense,Goias,2,0,H
Internacional,Santos,1,0,H
Atletico-MG,Athletico-PR,3,1,H
Chapecoense,Atletico-MG,1,1,D
Criciuma,Cruzeiro,0,0,D
Bahia,Goias,1,0,H
Fluminense,Coritiba,1,1,D
Flamengo,Sport,1,0,H
Athletico-PR,Botafogo-RJ,2,0,H
Santos,Corinthians,0,1,A
Internacional,Gremio,2,0,H
Atletico-MG,Palmeiras,2,1,H
Chapecoense,Figueirense,0,1,A
Sao Paulo,Vitoria,3,1,H
Goias,Internacional,0,1,A
Corinthians,Bahia,1,1,D
Gremio,Criciuma,2,0,H
Coritiba,Flamengo,0,1,A
Cruzeiro,Santos,3,0,H
Palmeiras,Sao Paulo,1,2,A
Vitoria,Chapecoense,0,0,D
Botafogo-RJ,Fluminense,2,0,H
Figueirense,Atletico-MG,2,2,D
Sport,Athletico-PR,1,1,D
Sport,Palmeiras,2,1,H
Figueirense,Botafogo-RJ,1,0,H
Santos,Athletico-PR,2,0,H
Coritiba,Vitoria,2,0,H
Bahia,Criciuma,0,0,D
Chapecoense,Fluminense,1,0,H
Flamengo,Atletico-MG,2,1,H
Internacional,Sao Paulo,0,1,A
Corinthians,Goias,5,2,H
Cruzeiro,Gremio,1,0,H
Atletico-MG,Internacional,1,0,H
Botafogo-RJ,Chapecoense,1,0,H
Palmeiras,Coritiba,1,0,H
Gremio,Corinthians,2,1,H
Criciuma,Flamengo,0,2,A
Vitoria,Figueirense,0,1,A
Sao Paulo,Santos,2,1,H
Fluminense,Sport,4,0,H
Athletico-PR,Bahia,0,0,D
Goias,Cruzeiro,0,1,A
Cruzeiro,Chapecoense,4,2,H
Palmeiras,Internacional,0,1,A
Sport,Criciuma,2,0,H
Coritiba,Atletico-MG,0,0,D
Botafogo-RJ,Santos,1,0,H
Corinthians,Fluminense,1,1,D
Figueirense,Sao Paulo,1,1,D
Gremio,Bahia,1,0,H
Goias,Athletico-PR,3,1,H
Vitoria,Flamengo,1,2,A
Flamengo,Gremio,0,1,A
Santos,Vitoria,3,1,H
Chapecoense,Goias,0,0,D
Criciuma,Corinthians,0,0,D
Atletico-MG,Botafogo-RJ,1,0,H
Sao Paulo,Sport,2,0,H
Fluminense,Cruzeiro,3,3,D
Bahia,Coritiba,0,0,D
Athletico-PR,Palmeiras,1,1,D
Internacional,Figueirense,2,3,A
Gremio,Athletico-PR,1,0,H
Palmeiras,Criciuma,1,0,H
Figueirense,Fluminense,1,1,D
Sport,Santos,3,1,H
Coritiba,Chapecoense,3,0,H
Goias,Flamengo,1,0,H
Botafogo-RJ,Sao Paulo,2,4,A
Vitoria,Internacional,2,0,H
Corinthians,Atletico-MG,1,0,H
Cruzeiro,Bahia,2,1,H
Fluminense,Palmeiras,3,0,H
Chapecoense,Sport,3,1,H
Santos,Coritiba,2,1,H
Bahia,Figueirense,3,0,H
Flamengo,Corinthians,1,0,H
Internacional,Botafogo-RJ,2,0,H
Sao Paulo,Cruzeiro,2,0,H
Athletico-PR,Vitoria,2,0,H
Atletico-MG,Gremio,0,0,D
Criciuma,Goias,1,0,H
Vitoria,Fluminense,3,1,H
Cruzeiro,Athletico-PR,2,0,H
Sport,Internacional,0,0,D
Figueirense,Criciuma,1,1,D
Botafogo-RJ,Bahia,2,3,A
Coritiba,Sao Paulo,3,1,H
Palmeiras,Flamengo,2,2,D
Corinthians,Chapecoense,1,1,D
Goias,Atletico-MG,2,3,A
Gremio,Santos,0,0,D
Athletico-PR,Internacional,0,1,A
Criciuma,Botafogo-RJ,1,1,D
Cruzeiro,Atletico-MG,2,3,A
Vitoria,Bahia,2,1,H
Flamengo,Fluminense,1,1,D
Corinthians,Sao Paulo,3,2,H
Sport,Coritiba,1,0,H
Goias,Palmeiras,6,0,H
Gremio,Chapecoense,1,0,H
Santos,Figueirense,3,1,H
Internacional,Criciuma,3,0,H
Coritiba,Cruzeiro,1,2,A
Chapecoense,Athletico-PR,3,0,H
Bahia,Sport,1,0,H
Figueirense,Corinthians,1,0,H
Fluminense,Gremio,0,0,D
Sao Paulo,Flamengo,2,2,D
Botafogo-RJ,Goias,1,0,H
Palmeiras,Vitoria,2,0,H
Atletico-MG,Santos,3,2,H
Sport,Cruzeiro,0,0,D
Chapecoense,Criciuma,1,1,D
Sao Paulo,Fluminense,1,3,A
Botafogo-RJ,Gremio,0,2,A
Bahia,Flamengo,2,1,H
Athletico-PR,Corinthians,1,0,H
Atletico-MG,Vitoria,2,0,H
Santos,Goias,2,0,H
Figueirense,Palmeiras,3,1,H
Internacional,Coritiba,4,2,H
Palmeiras,Chapecoense,4,2,H
Flamengo,Santos,0,1,A
Vitoria,Botafogo-RJ,2,1,H
Fluminense,Bahia,1,1,D
Gremio,Sao Paulo,0,1,A
Coritiba,Athletico-PR,1,0,H
Criciuma,Atletico-MG,3,1,H
Corinthians,Sport,3,0,H
Cruzeiro,Internacional,2,1,H
Goias,Figueirense,1,0,H
Sao Paulo,Athletico-PR,1,0,H
Botafogo-RJ,Palmeiras,0,1,A
Coritiba,Criciuma,1,0,H
Vitoria,Goias,2,2,D
Gremio,Sport,2,0,H
Cruzeiro,Corinthians,0,1,A
Figueirense,Flamengo,1,2,A
Fluminense,Atletico-MG,0,0,D
Santos,Bahia,1,0,H
Chapecoense,Internacional,5,0,H
Botafogo-RJ,Corinthians,1,0,H
Goias,Coritiba,3,0,H
Palmeiras,Gremio,2,1,H
Flamengo,Cruzeiro,3,0,H
Bahia,Chapecoense,0,1,A
Internacional,Fluminense,2,1,H
Atletico-MG,Sao Paulo,1,0,H
Athletico-PR,Figueirense,3,0,H
Criciuma,Santos,3,0,H
Sport,Vitoria,1,2,A
Goias,Gremio,0,0,D
Sao Paulo,Bahia,2,1,H
Fluminense,Criciuma,4,2,H
Atletico-MG,Chapecoense,1,0,H
Athletico-PR,Flamengo,2,1,H
Figueirense,Coritiba,4,0,H
Internacional,Corinthians,1,2,A
Palmeiras,Santos,1,3,A
Botafogo-RJ,Sport,1,1,D
Vitoria,Cruzeiro,0,1,A
Bahia,Atletico-MG,1,1,D
Cruzeiro,Palmeiras,1,1,D
Corinthians,Vitoria,2,1,H
Flamengo,Internacional,2,0,H
Criciuma,Athletico-PR,0,1,A
Gremio,Figueirense,1,0,H
Coritiba,Botafogo-RJ,2,0,H
Santos,Fluminense,0,1,A
Chapecoense,Sao Paulo,0,0,D
Sport,Goias,0,1,A
Figueirense,Cruzeiro,1,1,D
Fluminense,Athletico-PR,2,1,H
Palmeiras,Corinthians,1,1,D
Vitoria,Criciuma,3,1,H
Atletico-MG,Sport,3,2,H
Chapecoense,Santos,1,1,D
Coritiba,Gremio,1,1,D
Internacional,Bahia,2,0,H
Botafogo-RJ,Flamengo,2,1,H
Sao Paulo,Goias,3,0,H
Gremio,Vitoria,1,0,H
Goias,Fluminense,0,2,A
Corinthians,Coritiba,2,2,D
Santos,Internacional,1,2,A
Sport,Figueirense,1,0,H
Cruzeiro,Botafogo-RJ,2,1,H
Criciuma,Sao Paulo,1,2,A
Flamengo,Chapecoense,3,0,H
Athletico-PR,Atletico-MG,1,0,H
Bahia,Palmeiras,0,1,A
Coritiba,Fluminense,1,0,H
Palmeiras,Atletico-MG,0,2,A
Botafogo-RJ,Athletico-PR,0,2,A
Sport,Flamengo,2,2,D
Vitoria,Sao Paulo,1,2,A
Figueirense,Chapecoense,1,0,H
Gremio,Internacional,4,1,H
Cruzeiro,Criciuma,3,1,H
Goias,Bahia,3,0,H
Corinthians,Santos,1,0,H
Sao Paulo,Internacional,1,1,D
Criciuma,Gremio,0,3,A
Fluminense,Botafogo-RJ,1,0,H
Athletico-PR,Sport,0,1,A
Flamengo,Coritiba,3,2,H
Internacional,Goias,1,0,H
Santos,Cruzeiro,0,1,A
Bahia,Corinthians,1,2,A
Atletico-MG,Figueirense,1,1,D
Chapecoense,Vitoria,0,1,A
Sao Paulo,Palmeiras,2,0,H
Athletico-PR,Santos,1,1,D
Botafogo-RJ,Figueirense,0,1,A
Goias,Corinthians,0,1,A
Vitoria,Coritiba,1,1,D
Criciuma,Bahia,0,1,A
Atletico-MG,Flamengo,4,0,H
Palmeiras,Sport,0,2,A
Fluminense,Chapecoense,1,4,A
Gremio,Cruzeiro,1,2,A
Internacional,Atletico-MG,2,1,H
Bahia,Athletico-PR,1,2,A
Flamengo,Criciuma,1,1,D
Santos,Sao Paulo,0,1,A
Sport,Fluminense,2,2,D
Cruzeiro,Goias,2,1,H
Figueirense,Vitoria,2,0,H
Chapecoense,Botafogo-RJ,2,0,H
Corinthians,Gremio,1,0,H
Coritiba,Palmeiras,2,0,H
Criciuma,Sport,2,2,D
Internacional,Palmeiras,3,1,H
Flamengo,Vitoria,4,0,H
Fluminense,Corinthians,5,2,H
Chapecoense,Cruzeiro,1,1,D
Santos,Botafogo-RJ,2,0,H
Sao Paulo,Figueirense,1,1,D
Athletico-PR,Goias,1,0,H
Atletico-MG,Coritiba,1,2,A
Bahia,Gremio,1,0,H
Corinthians,Criciuma,2,1,H
Figueirense,Internacional,1,2,A
Botafogo-RJ,Atletico-MG,0,0,D
Gremio,Flamengo,1,1,D
Goias,Chapecoense,4,2,H
Vitoria,Santos,0,1,A
Sport,Sao Paulo,1,0,H
Coritiba,Bahia,3,2,H
Palmeiras,Athletico-PR,1,1,D
Cruzeiro,Fluminense,2,1,H
Chapecoense,Coritiba,2,1,H
Palmeiras,Atletico-MG,2,2,D
Fluminense,Joinville,1,0,H
Gremio,Ponte Preta,3,3,D
Cruzeiro,Corinthians,0,1,A
Sport,Figueirense,4,1,H
Athletico-PR,Internacional,3,0,H
Sao Paulo,Flamengo,2,1,H
Vasco,Goias,0,0,D
Avai,Santos,1,1,D
Goias,Athletico-PR,2,0,H
Coritiba,Gremio,2,0,H
Corinthians,Chapecoense,1,0,H
Figueirense,Vasco,0,0,D
Atletico-MG,Fluminense,4,1,H
Flamengo,Sport,2,2,D
Santos,Cruzeiro,1,0,H
Internacional,Avai,1,0,H
Joinville,Palmeiras,0,0,D
Ponte Preta,Sao Paulo,1,0,H
Vasco,Internacional,1,1,D
Sao Paulo,Joinville,3,0,H
Gremio,Figueirense,1,0,H
Palmeiras,Goias,0,1,A
Chapecoense,Santos,1,0,H
Athletico-PR,Atletico-MG,1,0,H
Fluminense,Corinthians,0,0,D
Avai,Flamengo,2,1,H
Cruzeiro,Ponte Preta,1,1,D
Sport,Coritiba,1,0,H
Ponte Preta,Chapecoense,3,1,H
Coritiba,Avai,1,2,A
Joinville,Athletico-PR,1,2,A
Santos,Sport,2,2,D
Atletico-MG,Vasco,3,0,H
Goias,Gremio,1,1,D
Internacional,Sao Paulo,0,0,D
Corinthians,Palmeiras,0,2,A
Flamengo,Fluminense,2,3,A
Figueirense,Cruzeiro,2,1,H
Athletico-PR,Figueirense,1,0,H
Vasco,Ponte Preta,0,3,A
Chapecoense,Joinville,2,0,H
Sao Paulo,Santos,3,2,H
Gremio,Corinthians,3,1,H
Avai,Atletico-MG,1,4,A
Cruzeiro,Flamengo,1,0,H
Fluminense,Coritiba,2,0,H
Sport,Goias,1,0,H
Palmeiras,Internacional,1,1,D
Flamengo,Chapecoense,1,0,H
Atletico-MG,Cruzeiro,1,3,A
Santos,Ponte Preta,2,2,D
Joinville,Corinthians,0,1,A
Athletico-PR,Vasco,2,0,H
Sao Paulo,Gremio,2,0,H
Internacional,Coritiba,2,0,H
Goias,Avai,0,1,A
Fluminense,Sport,0,0,D
Figueirense,Palmeiras,2,1,H
Atletico-MG,Santos,2,2,D
Corinthians,Internacional,2,1,H
Chapecoense,Sao Paulo,0,1,A
Coritiba,Flamengo,0,1,A
Sport,Joinville,2,1,H
Vasco,Cruzeiro,1,3,A
Ponte Preta,Goias,0,0,D
Palmeiras,Fluminense,2,1,H
Avai,Figueirense,1,1,D
Gremio,Athletico-PR,2,1,H
Figueirense,Internacional,0,0,D
Sport,Vasco,2,1,H
Flamengo,Atletico-MG,0,2,A
Santos,Corinthians,1,0,H
Gremio,Palmeiras,1,0,H
Cruzeiro,Chapecoense,0,1,A
Joinville,Goias,2,1,H
Sao Paulo,Avai,1,1,D
Athletico-PR,Coritiba,2,2,D
Fluminense,Ponte Preta,2,0,H
Avai,Gremio,1,2,A
Chapecoense,Sport,1,1,D
Corinthians,Figueirense,2,1,H
Atletico-MG,Joinville,1,0,H
Palmeiras,Sao Paulo,4,0,H
Goias,Fluminense,1,2,A
Ponte Preta,Athletico-PR,2,1,H
Coritiba,Cruzeiro,1,0,H
Vasco,Flamengo,1,0,H
Internacional,Santos,1,0,H
Sport,Internacional,3,0,H
Vasco,Avai,1,0,H
Palmeiras,Chapecoense,2,0,H
Atletico-MG,Coritiba,2,0,H
Gremio,Cruzeiro,1,0,H
Joinville,Flamengo,0,1,A
Athletico-PR,Sao Paulo,2,1,H
Figueirense,Goias,3,1,H
Corinthians,Ponte Preta,2,0,H
Fluminense,Santos,2,1,H
Coritiba,Joinville,0,0,D
Cruzeiro,Athletico-PR,2,0,H
Chapecoense,Vasco,1,0,H
Avai,Sport,2,2,D
Goias,Corinthians,0,0,D
Santos,Gremio,1,3,A
Sao Paulo,Fluminense,0,0,D
Ponte Preta,Palmeiras,0,2,A
Flamengo,Figueirense,1,2,A
Internacional,Atletico-MG,1,3,A
Goias,Santos,4,1,H
Chapecoense,Gremio,1,0,H
Coritiba,Ponte Preta,0,0,D
Palmeiras,Avai,3,0,H
Figueirense,Joinville,0,2,A
Atletico-MG,Sport,2,1,H
Internacional,Flamengo,1,2,A
Vasco,Sao Paulo,0,4,A
Corinthians,Athletico-PR,2,0,H
Fluminense,Cruzeiro,1,0,H
Santos,Figueirense,3,0,H
Gremio,Vasco,2,0,H
Ponte Preta,Atletico-MG,0,2,A
Sao Paulo,Coritiba,3,1,H
Flamengo,Corinthians,0,3,A
Joinville,Internacional,0,2,A
Athletico-PR,Fluminense,1,2,A
Cruzeiro,Goias,1,0,H
Sport,Palmeiras,2,2,D
Avai,Chapecoense,2,1,H
Internacional,Goias,2,1,H
Flamengo,Gremio,1,0,H
Corinthians,Atletico-MG,1,0,H
Athletico-PR,Chapecoense,1,0,H
Figueirense,Coritiba,0,0,D
Fluminense,Vasco,1,2,A
Palmeiras,Santos,1,0,H
Sport,Sao Paulo,2,0,H
Cruzeiro,Avai,1,1,D
Joinville,Ponte Preta,1,1,D
Avai,Athletico-PR,1,2,A
Gremio,Sport,1,1,D
Atletico-MG,Figueirense,1,0,H
Santos,Joinville,2,0,H
Chapecoense,Fluminense,2,1,H
Ponte Preta,Internacional,0,0,D
Goias,Flamengo,0,1,A
Coritiba,Corinthians,1,1,D
Sao Paulo,Cruzeiro,1,0,H
Vasco,Palmeiras,1,4,A
